query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.6,1,0.2,0.2,0.6,0.2,0,1,0,1,1.0,3,0,0.0359704,0.035975,0.018143,0.0181585,0.0237478,0.0351212,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.4,1,0.2,0.2,0.4,0.2,0,1,0,1,1.0,2,0,0.0359647,0.0359704,0.018143,0.0181541,0.0237467,0.0351169,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.4,1,0.2,0.2,0.4,0.2,0,1,0,1,1.0,1,0,0.0359647,0.0359704,0.018143,0.0181541,0.0237467,0.0351169,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.6,1,0.2,0.2,0.6,0.2,0,1,0,1,1.0,1,0,0.0359704,0.035975,0.018143,0.0181585,0.0237478,0.0351212,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.4,1,0.2,0.2,0.4,0.2,0,1,0,1,1.0,1,0,0.0359647,0.0359704,0.018143,0.0181541,0.0237467,0.0351169,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.6,1,0.2,0.2,0.6,0.2,0,1,0,1,1.0,1,0,0.0359704,0.035975,0.018143,0.0181585,0.0237478,0.0351212,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.4,1,0.2,0.2,0.4,0.2,0,1,0,1,1.0,1,0,0.0359647,0.0359704,0.018143,0.0181541,0.0237467,0.0351169,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.6,1,0.2,0.2,0.6,0.2,0,1,0,1,1.0,1,0,0.0359704,0.035975,0.018143,0.0181585,0.0237478,0.0351212,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.6,1,0.2,0.2,0.6,0.2,0,1,0,1,1.0,1,0,0.0359704,0.035975,0.018143,0.0181585,0.0237478,0.0351212,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.6,1,0.2,0.2,0.6,0.2,0,1,0,1,1.0,1,0,0.0359704,0.035975,0.018143,0.0181585,0.0237478,0.0351212,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.6,1,0.2,0.2,0.6,0.2,0,1,0,1,1.0,1,0,0.0359704,0.035975,0.018143,0.0181585,0.0237478,0.0351212,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.6,1,0.2,0.2,0.6,0.2,0,1,0,1,1.0,1,0,0.0359704,0.035975,0.018143,0.0181585,0.0237478,0.0351212,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.6,1,0.2,0.2,0.6,0.2,0,1,0,1,1.0,1,0,0.0359704,0.035975,0.018143,0.0181585,0.0237478,0.0351212,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.4,1,0.2,0.2,0.4,0.2,0,1,0,1,1.0,3,0,0.0359647,0.0359704,0.018143,0.0181541,0.0237467,0.0351169,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.4,1,0.2,0.2,0.4,0.2,0,1,0,1,1.0,1,0,0.0359647,0.0359704,0.018143,0.0181541,0.0237467,0.0351169,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.4,1,0.2,0.2,0.4,0.2,0,1,0,1,1.0,1,0,0.0359647,0.0359704,0.018143,0.0181541,0.0237467,0.0351169,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.4,1,0.2,0.2,0.4,0.2,0,1,0,1,1.0,2,0,0.0359647,0.0359704,0.018143,0.0181541,0.0237467,0.0351169,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.4,1,0.2,0.2,0.4,0.2,0,1,0,1,1.0,1,0,0.0359647,0.0359704,0.018143,0.0181541,0.0237467,0.0351169,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.4,1,0.2,0.2,0.4,0.2,0,1,0,1,1.0,2,0,0.0359647,0.0359704,0.018143,0.0181541,0.0237467,0.0351169,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.6,1,0.2,0.2,0.6,0.2,0,1,0,1,1.0,1,0,0.0359704,0.035975,0.018143,0.0181585,0.0237478,0.0351212,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,0,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.6,1,0.2,0.2,0.6,0.2,0,1,0,1,1.0,1,0,0.0359704,0.035975,0.018143,0.0181585,0.0237478,0.0351212,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,1,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,1,1,0,1,1.0,1,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,1,1,0,1,1.0,2,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.6,1,0.2,0.2,0.6,0.2,1,1,0,1,1.0,1,0,0.0359704,0.035975,0.018143,0.0181585,0.0237478,0.0351212,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.2,1,0.2,0.2,0.2,0.2,1,1,0,1,1.0,3,0,0.0359571,0.0359639,0.018143,0.0181496,0.0237435,0.0351117,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
,1,0.2,5,0.2,0.4,1,0.2,0.2,0.4,0.2,1,1,0,1,1.0,1,0,0.0359647,0.0359704,0.018143,0.0181541,0.0237467,0.0351169,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,0.0148552,2
